time,axes[0],axes[1],axes[2],axes[3],axes[4],axes[5],buttons[0],buttons[1],buttons[2],buttons[3],buttons[4],buttons[5],buttons[6],buttons[7],buttons[8],buttons[9],buttons[10],buttons[11],buttons[12]
17.2377,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17.2578,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17.2778,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17.2977,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17.3177,0,0,-0.0866142,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17.3376,0,0,-0.267717,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17.3576,0,0,-0.330709,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17.3775,0,0,-0.385827,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17.3975,0,0,-0.480315,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17.4175,0,0,-0.559055,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17.4375,0,0,-0.637795,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17.4574,0,0,-0.716535,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17.4775,0,0,-0.724409,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17.4977,0,0,-0.724409,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17.5175,0,0,-0.732283,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17.5374,0,0,-0.732283,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17.5573,0,0,-0.732283,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17.5773,0,0,-0.724409,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17.5972,0,0,-0.724409,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17.6171,0,0,-0.724409,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17.6381,0,0,-0.724409,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17.658,0,0,-0.724409,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17.678,0,0,-0.724409,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17.6982,0,0,-0.724409,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17.718,0,0,-0.724409,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17.7379,0,0,-0.724409,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17.7579,0,0,-0.724409,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17.7778,0,0,-0.724409,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17.798,0,0,-0.724409,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17.8178,0,0,-0.724409,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17.8379,0,0,-0.724409,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17.8579,0,0,-0.724409,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17.8778,0,0,-0.724409,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17.8979,0,0,-0.724409,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17.9178,0,0,-0.724409,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17.9377,0,0,-0.724409,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17.9577,0,0,-0.724409,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17.9785,0,0,-0.724409,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17.9977,0,0,-0.708661,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
18.0177,0,0,-0.629921,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
18.0376,0,0,-0.511811,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
18.0576,0,0,-0.149606,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
18.0776,0,0,-0.0551181,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
18.0984,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.1184,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.1384,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.1585,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.1783,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.1984,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.2185,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.2384,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.2583,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.2787,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.2987,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.3183,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.3383,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.3582,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.3781,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.3982,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.418,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.4382,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.458,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.4779,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.4981,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.519,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.539,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.5588,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.5788,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.5989,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.6188,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.6388,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.6589,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.6787,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.6988,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.7188,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.7386,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.7586,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.7786,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.7987,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.8187,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.8386,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.8586,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.8785,0,0,0.0472441,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.8984,0,0,0.141732,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
18.9185,0,0,0.173228,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
18.9393,0,0,0.19685,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
18.9593,0,0,0.220472,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
18.9794,0,0,0.23622,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
18.9992,0,0,0.259843,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
19.0193,0,0,0.307087,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
19.0393,0,0,0.322835,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
19.0592,0,0,0.338583,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
19.0791,0,0,0.401575,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
19.0996,0,0,0.448819,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
19.1192,0,0,0.503937,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
19.1391,0,0,0.606299,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
19.1591,0,0,0.669291,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
